dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1489536000,2017-03-15 00:00:00 +0000 UTC,5128581,,,,271.91,270.15,274.15,994,,,64,6,310,,,,,,,,,90,701,Mist,mist,50n
1489539600,2017-03-15 01:00:00 +0000 UTC,5128581,,,,271.31,269.15,274.15,997,,,63,10,310,,,,,,,,,75,701,Mist,mist,50n
1489543200,2017-03-15 02:00:00 +0000 UTC,5128581,,,,269.86,267.15,273.15,999,,,62,8,320,,,,,,,,,1,721,Haze,haze,50n
1489546800,2017-03-15 03:00:00 +0000 UTC,5128581,,,,268.65,266.15,271.15,1000,,,57,9,310,,,,,,,,,1,721,Haze,haze,50n
1489550400,2017-03-15 04:00:00 +0000 UTC,5128581,,,,267.61,266.15,269.15,1001,,,57,7,320,,,,,,,,,1,721,Haze,haze,50n
1489622400,2017-03-16 00:00:00 +0000 UTC,5128581,,,,269.22,267.15,271.15,1008,,,49,9,310,,,,,,,,,90,600,Snow,light snow,13n
1489622400,2017-03-16 00:00:00 +0000 UTC,5128581,,,,269.22,267.15,271.15,1008,,,49,9,310,,,,,,,,,90,701,Mist,mist,50n
1489626000,2017-03-16 01:00:00 +0000 UTC,5128581,,,,269.44,267.15,271.15,1009,,,58,6,310,,,,,,,,,1,600,Snow,light snow,13n
1489629600,2017-03-16 02:00:00 +0000 UTC,5128581,,,,269.29,267.15,271.15,1011,,,68,7,310,,,,,,,,,40,802,Clouds,scattered clouds,03n
1489633200,2017-03-16 03:00:00 +0000 UTC,5128581,,,,269.3,267.15,271.15,1012,,,62,6,300,,,,,,,,,1,800,Clear,sky is clear,01n